"Site","Alder_FS","Ash_FS","Beech_FS","Birch_FS","Elm_FS","Hazel_FS","Oak_FS","Rowan_FS","Sycamore_FS","Willow_FS","Conifer_FS","OthDecid_FS","Alder_cent","Ash_cent","Beech_cent","Birch_cent","Elm_cent","Hazel_cent","Oak_cent","Rowan_cent","Sycamore_cent","Willow_cent","Conifer_cent","OthDecid_cent","Total_cent"
"ALN",6.5,0,0,67.28125,0,0,0,0.125,0,0.125,3.25,0,0.709481678766835,-5.79051832123316,-5.79051832123316,61.4907316787668,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.66551832123316,-5.79051832123316,-5.66551832123316,-2.54051832123317,-5.79051832123316,7.79503014520201
"ART",0,0.75,3.59375,8.5,0,0,50.109375,0.25,0,1.8125,1.5625,5.46875,-5.79051832123316,-5.04051832123316,-2.19676832123317,2.70948167876684,-5.79051832123316,-5.79051832123316,44.3188566787668,-5.54051832123316,-5.79051832123316,-3.97801832123316,-4.22801832123317,-0.321768321233166,2.56065514520201
"AVI",0,0,0,36.96875,0,0,0,0,0,0,0,0,-5.79051832123316,-5.79051832123316,-5.79051832123316,31.1782316787668,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.79051832123316,-32.517469854798
"AVN",0,0,0,2.78125,0,0.375,69.75,0.25,0,4.8828125,0,7.03125,-5.79051832123316,-5.79051832123316,-5.79051832123316,-3.00926832123316,-5.79051832123316,-5.41551832123316,63.9594816787668,-5.54051832123316,-5.79051832123316,-0.907705821233165,-5.79051832123316,1.24073167876683,15.584092645202
"BAD",0,6.04166666666667,17.09375,9.54166666666667,0,0,0,2,9.5,3.70833333333333,0,0.666666666666667,-5.79051832123316,0.251148345433502,11.3032316787668,3.7511483454335,-5.79051832123316,-5.79051832123316,-5.79051832123316,-3.79051832123316,3.70948167876683,-2.08218498789983,-5.79051832123316,-5.1238516545665,-20.9341365214646
"BIR",1.40625,1.40625,0.125,12.03125,0,0.0625,28.3203125,0.125,9.34375,0,16.15625,0,-4.38426832123316,-4.38426832123316,-5.66551832123316,6.24073167876684,-5.79051832123316,-5.72801832123316,22.5297941787668,-5.66551832123316,3.55323167876683,-5.79051832123316,10.3657316787668,-5.79051832123316,-0.509657354797985
"BLA",2.96875,5.59375,16.4609375,20.4375,0.125,3.1875,0,0.78125,0,0.5,2.34375,2.00625,-2.82176832123317,-0.196768321233166,10.6704191787668,14.6469816787668,-5.66551832123316,-2.60301832123316,-5.79051832123316,-5.00926832123316,-5.79051832123316,-5.29051832123316,-3.44676832123317,-3.78426832123316,-15.081532354798
"BLG",0.78125,14.234375,0.125,4.9375,4.96875,0,20.609375,0.125,31.90625,0,0,9.0390625,-5.00926832123316,8.44385667876683,-5.66551832123316,-0.853018321233166,-0.821768321233164,-5.79051832123316,14.8188566787668,-5.66551832123316,26.1157316787668,-5.79051832123316,-5.79051832123316,3.24854417876684,17.240342645202
"CAL",3.28125,0,0,34.96875,0,0,0,3,0.125,2.0625,7.75,0.125,-2.50926832123316,-5.79051832123316,-5.79051832123316,29.1782316787668,-5.79051832123316,-5.79051832123316,-5.79051832123316,-2.79051832123316,-5.66551832123316,-3.72801832123316,1.95948167876683,-5.66551832123316,-18.173719854798
"CAR",0,0,0,27.0833333333333,0,0,0,0.666666666666667,0,0.166666666666667,0.666666666666667,20.2916666666667,-5.79051832123316,-5.79051832123316,-5.79051832123316,21.2928150121002,-5.79051832123316,-5.79051832123316,-5.79051832123316,-5.1238516545665,-5.79051832123316,-5.6238516545665,-5.1238516545665,14.5011483454335,-20.611219854798
"CRU",8.71875,0,0,28.8125,0,0,0,2.0625,0.125,1.47125,1.9375,0.90625,2.92823167876683,-5.79051832123316,-5.79051832123316,23.0219816787668,-5.79051832123316,-5.79051832123316,-5.79051832123316,-3.72801832123316,-5.66551832123316,-4.31926832123316,-3.85301832123316,-4.88426832123316,-25.452469854798
"DAV",42.59375,0.5,0,0.625,0,0,0.125,2.375,3.75,1.25,0,2.1875,36.8032316787668,-5.29051832123316,-5.79051832123316,-5.16551832123316,-5.79051832123316,-5.79051832123316,-5.66551832123316,-3.41551832123316,-2.04051832123317,-4.54051832123316,-5.79051832123316,-3.60301832123316,-16.079969854798
